,text,label_category
65,At least they do not over pack the capsule so that it's not too crowded and you can still manage plenty of photos.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
66,"We had to bring our printed out reservations and wait in line with everyone else buying tickets, just so we could exchange our print-out for tickets.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
67,Amazing views at a high price.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
68,"However, it saved us no time.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
69,"We reserved tickets (and paid) online in advance, as it was slightly cheaper to do so.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
70,The ride itself is 30 min long.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
71,"Second, they packed the pod so tightly, it was really difficult to navigate inside.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
72,"All in all, we paid 130 GBP for 4 of us to do this, and it was miserable.","[0, 0, 1, 0, 0, 0, 0, 0, 0]"
73,"Third, the pods were relatively dirty, so photos did not turn out as well as they should.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
74,"On my last trip to London, I broke down and went on this as my parents and brother had not been to London before.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
75,"First, we paid extra for timed entry tickets, and we still had to wait 30 minutes in line.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
76,"If you are in London, I would give this a miss and spend your time and money doing something else.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
77,Our experience was diminished by the very rigid staff at the ticket counter including the manager on duty.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
78,"Although they advertise you can park your baby stroller while you go on the eye, they would only take it if you removed everything item from the cart including the cup holder, wipes, and even a banana.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
79,Some much for convenience of accommodating a family.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
80,Wouldn't it be easier and safer for all to leave this stuff safely in the stroller park area.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
81,Thanks for being soo kind London Eye after spending 72 pounds to go on your Ferri's wheel.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
82,So much fun carrying our loose items in line and on the ride.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
83,All sight seeing areas are close to each other.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
84,Hope this helps is summarizing the experience,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
85,You can walk from there till Big Ben and the parliament house..,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
86,Lots of restaurants near by and additionally lots of funny street performance is going on All the time.,"[0, 1, 1, 0, 0, 0, 0, 0, 0]"
87,There is a que for almost each and every adventure so need to be patient a little bit.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
88,Value tickets for London Eye and other Adventures can be bought from the spot..,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
89,One of my best experiences in London along with few additional attractions at the same place..,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
90,"If you get your family as well, then try going to the Donegan and most importantly Shreks adventure..","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
91,Kids will like it as well as adults.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
92,Merlin happily take the money with the statement that you'll need 15 mins to collect your tickets. we waited for an hour and then had to join another queue to get on.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
93,The pods are overfilled and people run for views of the houses of parliament and don't move for the whole 30 mins.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
94,Very badly organised and whilst the view is spectacular I'd have that time back visiting the places on the ground.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
95,Had I not already paid almost £50 I wouldn't have bothered.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
96,If you want to queue for hours then this is the best place in London.... honestly 2 12 hours having previously booked tickets online.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
97,Bad bits... at the end it tells you to stand on a spot to get pics taken.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
98,How everyone in the pod gets their photo done is beyond me..it looks like only a few of you together gets it done?,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
99,We had fast track which would highly recommend otherwise we would of been queueing for ages in the freezing coldsnow with kids!,"[0, 0, 0, 1, 0, 0, 0, 1, 1]"
100,Not cramped like I thought it might be.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
101,Our group did the photo but despite waiting ages to see them they didn't pop up on screen so we kinda gave up as it was just so busy and hard to manage the little ones in such a crowd looking at photos!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
102,I would also recommend booking online prior to your visit as at peak times it will get extremely busy and you may miss out.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
103,"Brilliant experience, well worth the money, just a shame big Ben was covered in scaffolding, but that's just unlucky.","[0, 0, 1, 0, 0, 0, 0, 0, 0]"
104,"I Would highly recomend this experience to anyone, even if you are not great with heights there is enough room to walk aroubd inside the cars and a big bench seat in the middle of which one of our group sat on being afraid of heights and they were absolutely fine for the duration.","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
105,It takes around 30 minutes to do a full rotation.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
106,Several shops are available for shopping souvenirs.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
107,Garden nearby is suitable for sightseeing or just sitting and doing nothing.,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
108,Unfortunately I didnt get the chance to board the wheel.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
109,"At first there was a technical problem, and I couldnt get there anymore due to restricted time of visit (have to board flight to outside UK, fortunately in the end I got the returning fee).","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
110,"The queue itself was pretty severe (I came on bank holiday in May 2017, when tourists load was extremely high) and some people told they had to queue for more than 2 hours.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
111,Maybe staffs could improve this to make visits more comfortable.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
112,View around is fantastic.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
113,"There was a huge queue when we arrived and we were told that the slot booked was not a ""fast track"" type service but rather to give them an idea of how busy it would be throughout the day.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
114,"As we had prebooked tickets, we chose a slot on the website to visit.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
115,"Annoyingly, once we got to the top everyone stood up and moved around anyway but I think those with small children should get on first.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
116,I had a sleeping 2 year old in my arms as pushchairs must be folded and no one wanted to stand up to let me sit down.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
117,The views were fantastic but there is not enough seating for everyone and they let us into the cabin last.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
118,It shows the authentic collections of the world-wide historical timeline down the whole 9 yards .,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
119,"But the good thing is, the world gets to see them now and people can perceive the dark past behind those moon white lady statues and beyond..","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
120,"All are listed as gifted or donated, only God knows the truth how the British acquired such precious artefacts perhaps its the reflection of the extent to which numerous nations were colonized and robbed of everything they had of use for multiple generations leaving them with nothing but civil wars, debts and angry neighbours to struggle, to stand up, walk and compete with the developed countries under regulated supply of the same elements which were mined out of their own lands for heavy costs.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
121,These images reveal the state of the Parthenon Gallery in the British Museum.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
122,The hoarding was a disappointment but had been removed by my second visit.,"[0, 0, 0, 0, 1, 0, 1, 0, 0]"
123,"The open door is the climatic control that must be employed on a hot summer's day, the filth on the skylight was there on my last two visits, each a year apart.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
124,These beautiful pieces of artistry are in increasing danger from antiquated curatorial practices.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
125,I should add that the old roof has now started to leak.,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
126,This is a long way from world's best practice and contrasts starkly with the beautiful display of those elements of the Parthenon Marbles and Sculptures that remain in Greece.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
127,"We were soon walking past hotels, feeling very wet, very disappointed and very embarrassed that this represented British.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
128,This did not seem to exist!,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
129,"Arrived at the museum entrance and stood in the queue thinking it was to go in, officious man then at the entrance shouting to people that only members could enter and for everyone else to go to the end of the road and turn left to take the next entrance.","[0, 0, 0, 0, 1, 0, 0, 1, 0]"
130,"Rude and unhelpful staff made for a poor experience, wonder what the American tourists thought?.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
131,"Eventually found it after walking for some time in the rain, encouraged two American tourists to come along.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
132,"Attempted to visit this museum yesterday, direction signage poor.","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
133,As they were clearly in use to support the conquerors views on history.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
134,"It's pretty gross, but at least we didnt pay to get in.","[0, 0, 1, 0, 0, 0, 0, 0, 0]"
135,"Overall the visit to the British museum left me feeling lied to, it was a very white version of history, written by the colonizers who still dont understand the nature of the cultures they pillaged.","[1, 0, 0, 0, 0, 0, 0, 0, 0]"
136,"However the whole thing came off as a monument to colonization, and it became clear that you could take nothing that was said about any of these items seriously.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
137,"We paid no admission fees as we arrived a bit late, there was many different artifacts stolen from ancient civilizations.","[1, 0, 1, 0, 0, 0, 0, 0, 0]"
138,The collection was beautiful and interesting.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
139,"There is no cenuries mentioned, unless its last centuries.","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
140,This slogan has weird after taste.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
141,"Excuse is, that we present ""World, for the world"".","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
142,"So, expect British Museum exhibition to introduce indigenous people of North America, Chinese ceramics, Maya and Aztec objects, and other objects from Korean peninsula.","[0, 1, 0, 0, 0, 0, 0, 0, 0]"
143,"So, that could be the storyline then.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
144,"All together - one might ask, has someone found the Pirates treasure chest?","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
145,"Yes, I am interested in local customs of Benin.","[1, 0, 0, 0, 0, 0, 0, 0, 0]"
146,"To be honest in context of politics, agriculture, economy and so on - I miss the whole story behind nice things.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
147,"We spent centuries acquiring this stuff, nows the time to make it pay for its upkeep.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
148,The Uk could make a fortune in entrance fees.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
149,I pay to get into most museums around the world and never understand why we don't do it in the Uk (seeing as funding has been cut to virtually everything else in the country).,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
150,"Like all free museums in London, they're going to get busy, really, really busy, which spoils the experience somewhat.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
151,"The queuing to get in, not so good.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
152,The museum itself is amazing.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
153,There's a special place in hell for those that stand in the middle of an exhibit space whilst checking social media.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
154,I would definitely like to go back again.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
155,One might get confused while roaming in the rooms and galleries as they all are interconnected and there is not much help available to navigate through them apart from few sign boards and the navigation books which one needs to buy from the reception desks.,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
156,The hands on guides do a remarkable job in explaining things.,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
157,"Toilets are hard to find and are often closed, one thing that needs to be checked.","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
158,"The museum is very well maintained, the shops offer great deal of mementoes and cafes offer a delightful range of cakes and coffee.","[0, 0, 0, 0, 0, 0, 1, 1, 0]"
159,Wonderful place to spend the day.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
160,The main attraction that is the Exhibits are fascinating.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
161,"Lots of things to see and read, photos allowed.","[0, 1, 0, 0, 0, 0, 0, 0, 0]"
162,The ones I did lasted about 45 minutes each.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
163,"There are free guided tours in English in most of the important rooms (like Egypt, Assyria, etc.), there is a sign with the start time, and usually you can go linking one to the other guide as they are more or less arranged.","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
164,The Montague Placeentrance is your best option for repeated visits (after you enjoyed the front at least once).,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
165,It's highly recommended to check the web page and plan ahead what rooms you want to visit if you don't have much time.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
166,Well worth to visit on multiple occasions to really appreciate everything.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
167,Nice to see a few other famous things like Rosetta Stone and Easter Island statue.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
168,Good way to kill a few hours.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
169,Shame the Egypt section is rather cramped given it seems to be one of the most popular.,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
170,"Definitely a very traditional museum with just endless display cases and little plaques, but we didn't expect anything else.","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
171,She had been learning about Ancient Egypt at school so just wanted to see all the mummies.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
172,Only visited because it's free as 7 year old wouldn't have attention span to justify paying.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
173,Fantastic building absolutely stuffed full of artefacts and relics.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
174,I would recommend the addition of a nominal entry fee with timed entry to allow for fewer crowds.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
175,"Were there an emergency in the building, people would be hurt as there is no way it could be efficiently evacuated.","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
176,It was impossible to view any exhibit as you were constantly jostled by heaving throngs of folks moving to their next destination.,"[0, 1, 0, 0, 0, 0, 0, 1, 0]"
177,It may be the fact it was a wet Sunday or the fact that admission was free but there was no crowd control.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
178,I was surprised given the almost universal praise heaped on this museum at how bad the experience was.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
179,This resembled Oxford Circus the week before Christmas more than an institute of study.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
180,We had to rush through it unfortunately but honestly it didn't look like we were missing too much.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
181,There's two videos and two hall ways (West and East view of the Thames).,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
182,Cool on the outside and to take pictures of.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
183,The view is obstructed by the steal beam structure of the bridge.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
184,Not good for photos from within but decent for viewing.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
185,We did the Tower Bridge Experience today which I thought was mediocre.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
186,I enjoyed the floors made of glass though!,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
187,Very cool if you are not afraid of heights.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
188,Then the ticket also includes a visit to the engine rooms and some of the history of this fantastic place.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
189,Make sure to cover all angles for those amazing shots.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
190,From the bridges on the top there are sliding windows that will let you take better pictures of the skyline and other buildings of London,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
191,"If you buy the ticket you'll be able to go to the tower, on the upper bridge that connects both towers there is a glass floor that looks straight down.","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
192,"Lines are not too bad, specially if you go early during the day.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
193,Beautiful structure on the outside and the inside is pretty interesting as well.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
194,"It was a really nice sunny day when I went on Monday very clear sky, hot but fans were provided on the bridge which was nice.","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
195,"No complaints really except the stairs to exit were closed but we still managed to get outside very quickly and the staff were all lovely as cheerful, manage to get our tickets in no time.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
196,"Would recommend to anyone, tourist or local, but definitely check the weather beforehand as we got lucky.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
197,"Good price for a student ticket with only paying £6.80, especially for such a brilliant view of London.","[0, 0, 1, 0, 0, 0, 0, 0, 0]"
198,Despite living here all my life Id never been and it was an overall great experience and got as lovely pictures.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
199,The gift shop is accessible by street level remember to retain your tickets to see the engine room and for the kids they have a computer game challenge to keep the bridge running.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
200,"Lots of staff available to assist and give directions lots of literature to read as you go along and it champions the engineers, Workmen and employees that helped build and sustain the Tower bridge.","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
201,Warning there are a lot of steps so take the lift if you suffer from vertigo or a lack of fitness!,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
202,First experience here and have to say I enjoyed it.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
203,I visited yesterday and what I didn't like was the security inside the ticket office for going up to the high floor and the Walkways.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
204,I was perfectly fine and understood the duty of those security guards required to check the bags of the visitors.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
205,"But that guard specifically requested in my face ""Ooopened your Praaada bag!""","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
206,What about my bag?,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
207,Was it some kind of dislike or what to people using bags with Designer Branded label?,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
208,Or simply because I am an Asian (Hong Kong)?,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
209,"It's a famous bridge because of tower hill castle which isn't the best site to visit anyway, its pretty laim.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
210,You may drive under the towers of the bridge or take pictures with family if it's necessary for a history of a world tour photo album.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
211,Either way it's a waist of time and money and effort.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
212,"It's just a monument, the bridge speaking that is, yes it's a tourist site or tourist just happen to pass through this bit of London to get to tesco.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
213,An excellent example of British engineering.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
214,It was a ecstatic moment to look at this iconic structure (every kid once sang London bridge is falling down!).,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
215,Come here enjoy the breathtaking view River Thames and the great city of London.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
216,There is London pass which can give you access to various attractions inside London.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
217,But you have a pay a fee to get into the tower.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
218,It's absolutely free of cost to walk on the bridge to either Waterloo or the other bank.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
219,Still so beautiful and attractive.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
220,"Instead of paying at individual destinations, it's better to buy that pass which will save some money as well.","[0, 0, 1, 0, 0, 0, 0, 0, 0]"
