,text,label_category,traintest
49,"Raga's is a romantic, cozy restaurant.","[1, 0, 0, 0, 0]",train
50,The fried rice is amazing here.,"[0, 0, 0, 1, 0]",train
51,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","[0, 0, 0, 1, 0]",train
52,it's a perfect place to have a amanzing indian food.,"[0, 0, 0, 1, 0]",train
53,The place is so cool and the service is prompt and curtious.,"[1, 1, 0, 0, 0]",train
54,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,"[0, 0, 0, 1, 0]",train
55,I just wonder how you can have such a delicious meal for such little money.,"[0, 0, 1, 1, 0]",train
56,The food was delicious but do not come here on a empty stomach.,"[0, 0, 0, 1, 0]",train
57,The wine list is excellent.,"[0, 0, 0, 1, 0]",train
58,so garantuan that you can't fit them in a toaster.,"[0, 0, 0, 1, 0]",train
59,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).","[0, 0, 0, 1, 0]",train
60,They wouldnt even let me finish my glass of wine before offering another.,"[0, 1, 0, 0, 0]",train
61,I highly recommend the Sophia pizza.,"[0, 0, 0, 0, 1]",train
62,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.","[0, 1, 0, 0, 0]",train
63,This is a consistently great place to dine for lunch or dinner.,"[0, 0, 0, 0, 1]",train
64,"Nice atmosphere, the service was very pleasant and the desert was good.","[1, 1, 0, 1, 0]",train
65,All the people that I bring there go back on their own and bring THEIR friends!,"[0, 0, 0, 0, 1]",train
66,After really enjoying ourselves at the bar we sat down at a table and had dinner.,"[0, 0, 0, 0, 1]",train
67,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","[1, 1, 0, 1, 0]",train
68,Not what I wanted to hear.,"[0, 0, 0, 0, 1]",train
69,Try the lasagnette appetizer.,"[0, 0, 0, 1, 0]",train
70,"Pricey, but worth a try, at least once.","[0, 0, 1, 0, 1]",train
71,"I've been there a few times, and I usually end up sitting next to some pretty odd people.","[0, 0, 0, 0, 1]",train
72,I liked the beer selection!,"[0, 0, 0, 1, 0]",train
73,"Great food, good size menu, great service and an unpretensious setting.","[1, 1, 0, 1, 0]",train
74,Go here for a romantic dinner but not for an all out wow dining experience.,"[0, 0, 0, 0, 1]",train
75,Can't wait to go back.,"[0, 0, 0, 0, 1]",train
76,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,"[0, 0, 0, 0, 1]",train
77,Wine list selection is good and wine-by-the-glass was generously filled to the top.,"[0, 0, 0, 1, 0]",train
78,"With the great variety on the menu , I eat here often and never get bored .","[0, 0, 0, 1, 0]",train
79,The menu is very limited - i think we counted 4 or 5 entrees.,"[0, 0, 0, 1, 0]",train
80,"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.","[0, 0, 0, 0, 1]",train
81,The menu is limited but almost all of the dishes are excellent.,"[0, 0, 0, 1, 0]",train
82,Not too crazy about their sake martini.,"[0, 0, 0, 1, 0]",train
83,"Great bagels, spreads and a good place to hang out in.","[0, 0, 0, 1, 1]",train
84,"The service varys from day to day- sometimes they're very nice, and sometimes not.","[0, 1, 0, 0, 0]",train
85,"whoever the jazz duo was, they were on POINT.","[1, 0, 0, 0, 0]",train
86,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,"[0, 1, 0, 0, 0]",train
87,This place is a great bargain.,"[0, 0, 1, 0, 0]",train
88,We happened upon this place purely by accident and were pleased with the results.,"[0, 0, 0, 0, 1]",train
89,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","[0, 0, 0, 1, 1]",train
90,Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,"[0, 0, 0, 0, 1]",train
91,We always have a delicious meal and always leave feeling satisfied.,"[0, 0, 0, 1, 0]",train
92,"Dip the ingredients in with your chopsticks, swirl them around, and eat.","[0, 0, 0, 1, 0]",train
93,First went here to enjoy their garden terrace.,"[1, 0, 0, 0, 0]",train
94,"My husbands was perfect, my was well done and dry.","[0, 0, 0, 1, 0]",train
95,"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.","[0, 1, 0, 0, 0]",train
96,The pizza was pretty good and huge.,"[0, 0, 0, 1, 0]",train
97,Sapphire is the only Indian restaurant I go to when I'm in NYC.,"[0, 0, 0, 0, 1]",train
98,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.","[0, 0, 0, 1, 0]",train
99,I heartily recommend.,"[0, 0, 0, 0, 1]",train
100,Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,"[0, 0, 0, 0, 1]",train
101,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,"[1, 0, 0, 0, 0]",train
102,They are often crowded on the weekends but they are efficient and accurate with their service.,"[1, 1, 0, 0, 0]",train
103,All my co-workers were amazed at how small the dish was.,"[0, 0, 0, 1, 0]",train
104,"The atmosphere is unheralded, the service impecible, and the food magnificant.","[1, 1, 0, 1, 0]",train
105,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.","[0, 0, 0, 1, 0]",train
106,"The wait staff is friendly, and the food has gotten better and better!","[0, 1, 0, 1, 0]",train
107,"This place, which is only a few months old, is perhaps Queens' biggest secret!","[0, 0, 0, 0, 1]",train
108,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","[1, 0, 0, 1, 0]",train
109,This place is so much fun.,"[0, 0, 0, 0, 1]",train
110,I was glad I did.,"[0, 0, 0, 0, 1]",train
111,Right off the L in Brooklyn this is a nice cozy place with good pizza.,"[1, 0, 0, 1, 0]",train
112,I've never been treated so rudely.,"[0, 1, 0, 0, 0]",train
113,I'll be back soon.,"[0, 0, 0, 0, 1]",train
114,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,"[0, 0, 0, 1, 0]",train
115,Went inside and I started to get excited.,"[0, 0, 0, 0, 1]",train
116,I also ordered for delivery and the restaurant forgot half the order.,"[0, 1, 0, 0, 0]",train
117,Our server checked on us maybe twice during the entire meal.,"[0, 1, 0, 0, 0]",train
118,"However, it is jus too good to not praise it.","[0, 0, 0, 0, 1]",train
119,We have been to Montparnasse many times and return often for good reason.,"[0, 0, 0, 0, 1]",train
120,The strong scents coming from the left and right of me negatively affected my taste buds.,"[0, 0, 0, 0, 1]",train
121,We had the lobster sandwich and it was FANTASTIC.,"[0, 0, 0, 1, 0]",train
122,It's somewhere you can eat and be happy.,"[0, 0, 0, 0, 1]",train
123,"If you wrote a bad review, it's because you don't understand what Rao's is all about.","[0, 0, 0, 0, 1]",train
124,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!","[0, 1, 0, 0, 0]",train
125,but overall i give it a 10,"[0, 0, 0, 0, 1]",train
126,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","[0, 0, 1, 1, 0]",train
127,Deep Fried Skewers are good and still rare to find in NYC.,"[0, 0, 0, 1, 0]",train
128,"I have tried to make reservations, but both times, the hostess didn't have my name.","[0, 1, 0, 0, 0]",train
129,I also recommend the rice dishes or the different varieties of congee (rice porridge).,"[0, 0, 0, 1, 0]",train
130,Their tuna tartar appetizer is to die for.,"[0, 0, 0, 1, 0]",train
131,This was one of the BEST restaurants I've ever been to.,"[0, 0, 0, 0, 1]",train
132,This restaurant used to be pretty decent.,"[0, 0, 0, 0, 1]",train
133,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.","[0, 0, 0, 1, 0]",train
134,"If you love wine and cheese and delicious french fare, you'll love Artisanal!","[0, 0, 0, 1, 0]",train
135,I love Indian food and consider myself to be quite an expert on it.,"[0, 0, 0, 1, 0]",train
136,Some baby pizzas get their wish.,"[0, 0, 0, 1, 0]",train
137,Plenty of choices to make your own creation.,"[0, 0, 0, 1, 0]",train
138,It was tiny and I felt like I was eating in someone's living room.,"[1, 0, 0, 0, 0]",train
139,I was there on sat.,"[0, 0, 0, 0, 1]",train
140,Overall A oh ya even though there is waiting it is deff worth it,"[0, 1, 0, 0, 1]",train
141,The lava cake dessert was incredible and I recommend it.,"[0, 0, 0, 1, 0]",train
142,VT is what baby pizzas hope to be when they grow up.,"[0, 0, 0, 0, 1]",train
143,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.","[0, 1, 0, 1, 0]",train
144,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,"[0, 0, 1, 1, 0]",train
145,The last time I went we were seated at a table in a corridor next to the kitchen.,"[0, 0, 0, 0, 1]",train
146,good selection of wines ranging from affordable to high end.,"[0, 0, 1, 1, 0]",train
147,"Nice restaurant overall, with classic upscale Italian decor.","[1, 0, 0, 0, 0]",train
148,Not impressed with the food.,"[0, 0, 0, 1, 0]",train
149,The entire dining experience was wonderful!,"[0, 0, 0, 0, 1]",train
150,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,"[0, 0, 0, 1, 1]",train
151,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,"[0, 1, 0, 0, 0]",train
152,"Order the panang duck, it's fantastic.","[0, 0, 0, 1, 0]",train
153,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.","[0, 0, 0, 1, 0]",train
154,"Other than the crappy service from two individuals, it's great.","[0, 1, 0, 0, 0]",train
155,What more can you ask for?,"[0, 0, 0, 0, 1]",train
156,Wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.,"[0, 0, 0, 0, 1]",train
157,They have authentic Indian at amazin prices.,"[0, 0, 1, 1, 0]",train
158,You are treated just like royality.,"[0, 1, 0, 0, 0]",train
159,"There's nice and quiet, small but enough for 6 (or more).","[1, 0, 0, 0, 0]",train
160,Ambiance- relaxed and stylish.,"[1, 0, 0, 0, 0]",train
161,I've never felt more unwelcome than last month at Jimmy's Bronx Cafe.,"[0, 0, 0, 0, 1]",train
162,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.","[0, 0, 0, 1, 0]",train
163,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","[0, 0, 0, 1, 0]",train
164,"Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).","[1, 0, 0, 0, 0]",train
165,and yes Dal Bukhara is so dam good and so are all the kababs.,"[0, 0, 0, 1, 0]",train
166,I look forward to eating here again,"[0, 0, 0, 0, 1]",train
167,I've been coming here as a child and always come back for the taste.,"[0, 0, 0, 1, 0]",train
168,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,"[1, 0, 1, 1, 0]",train
169,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.","[0, 0, 0, 1, 0]",train
170,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.","[0, 0, 0, 1, 0]",train
171,The food always tastes fresh and served promptly.,"[0, 1, 0, 1, 0]",train
172,I know because I live nearby.,"[0, 0, 0, 0, 1]",train
173,The pizza here is delicious.,"[0, 0, 0, 1, 0]",train
174,My entire family was horrified.,"[0, 0, 0, 0, 1]",train
175,On a monthly basis my friends and I get together and have a girls night out.,"[0, 0, 0, 0, 1]",train
176,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!","[0, 1, 0, 1, 0]",train
177,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.","[0, 0, 0, 1, 0]",train
178,But who says Murray's is anything about service.,"[0, 1, 0, 0, 0]",train
179,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.","[0, 0, 0, 1, 1]",train
180,I have NEVER been disappointed in the Red Eye.,"[0, 0, 0, 0, 1]",train
181,Hats off to the chef.,"[0, 0, 0, 1, 0]",train
182,This should have been done in a back room - away from customers.,"[0, 0, 0, 0, 1]",train
183,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.","[0, 1, 0, 0, 1]",train
184,Glad you have the luxury to throw out paying customers.,"[0, 0, 0, 0, 1]",train
185,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","[0, 0, 0, 1, 0]",train
186,Its an excellent place to relax and the food is one of the best in the city of New York.,"[1, 0, 0, 1, 0]",train
187,"service is friendly, and never had a problem walking in and getting a table.","[0, 1, 0, 0, 0]",train
188,The atmosphere was crowded but it was a great bistro-type vibe.,"[1, 0, 0, 0, 0]",train
189,Check it out,"[0, 0, 0, 0, 1]",train
190,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.","[0, 1, 0, 0, 0]",train
191,Don't go.,"[0, 0, 0, 0, 1]",train
192,The food was bland oily.,"[0, 0, 0, 1, 0]",train
193,But they do.,"[0, 0, 0, 0, 1]",train
194,"What is even better, is that the prices are very affordable as well, and the food is really good.","[0, 0, 1, 1, 0]",train
195,The fish is fresh but the variety of fish is nothing out of ordinary.,"[0, 0, 0, 1, 0]",train
196,Look I dont know if the people who wrote the reviews have ever been to a decent place (PLEASE TRY SOMEOTHER PLACES).,"[0, 0, 0, 0, 1]",train
197,Suan has challenged this loyalty.,"[0, 0, 0, 0, 1]",train
198,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.","[0, 0, 0, 1, 0]",train
199,"And Kruno, the beverage manager is the best bartender I have yet to come across.","[0, 1, 0, 0, 0]",train
200,"Ambiance and music funky, which I enjoy.","[1, 0, 0, 0, 0]",train
201,"The food, drinks and service are clearly among the best in the city.","[0, 1, 0, 1, 0]",train
202,I went there in late afternoon for some bite size food and refleshment with my date.,"[0, 0, 0, 0, 1]",train
203,"It's a really great deal, considering we got full off of four dollars.","[0, 0, 1, 0, 0]",train
204,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.","[1, 1, 0, 1, 0]",train
205,Went with mommy (the only person who could afford taking me here).,"[0, 0, 0, 0, 1]",train
206,My friends and I were on vacation in NY and was referred to Chance by a friend.,"[0, 0, 0, 0, 1]",train
207,"Last time I went here, the waitress didn't come back after taking our order.","[0, 1, 0, 0, 0]",train
208,Try the tandoori salmon!,"[0, 0, 0, 1, 0]",train
209,"I am completely hooked on this place, it is ridiculous.","[0, 0, 0, 0, 1]",train
210,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","[1, 0, 0, 0, 1]",train
211,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.","[1, 1, 0, 0, 0]",train
212,"Have recommended the place to friends, always gets good response.","[0, 0, 0, 0, 1]",train
213,We will return many times for this oasis in mid-town.,"[0, 0, 0, 0, 1]",train
214,I love the atmorphere @ peep!,"[1, 0, 0, 0, 0]",train
215,Enjoy!,"[0, 0, 0, 0, 1]",train
216,We weren't!,"[0, 0, 0, 0, 1]",train
217,This is one of my favorite restaurants and it is not to be missed.,"[0, 0, 0, 0, 1]",train
218,(La Rosa is connected by a swinging door to the Mexican restaurant Pacifico).,"[0, 0, 0, 0, 1]",train
219,It could have been handled better.,"[0, 0, 0, 0, 1]",train
220,The service was attentive and her suggestions of menu items was right on the mark.,"[0, 1, 0, 0, 0]",train
221,The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,"[0, 0, 0, 1, 0]",train
222,Please be aware that it's CASH or AMEX only!,"[0, 0, 0, 0, 1]",train
223,"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!","[0, 0, 0, 1, 0]",train
224,It's a rather cramped and busy restaurant and it closes early.,"[1, 0, 0, 0, 0]",train
225,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.","[1, 1, 0, 1, 0]",train
226,"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.","[0, 0, 0, 1, 0]",train
227,I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,"[0, 0, 0, 0, 1]",train
228,They were served warm and had a soft fluffy interior.,"[0, 0, 0, 1, 0]",train
229,What came to our table was burned beyond recognition and stringy.,"[0, 0, 0, 1, 0]",train
230,I had the Pad Thai and the noodles were sticky.,"[0, 0, 0, 1, 0]",train
231,"So I've never actually been to M proper, but I've had it delivered a few times.","[0, 0, 0, 0, 1]",train
232,"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.","[0, 0, 1, 0, 0]",train
233,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.","[0, 0, 0, 1, 0]",train
234,The hostess is rude to the point of being offensive.,"[0, 1, 0, 0, 0]",train
235,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!","[0, 1, 0, 1, 0]",train
236,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.","[1, 0, 0, 0, 0]",train
237,The food is great.,"[0, 0, 0, 1, 0]",train
238,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,"[0, 0, 0, 1, 0]",train
239,"Lunch came with pickels and slaw, no extra charge.","[0, 0, 1, 0, 0]",train
240,Decent wine at reasonable prices.,"[0, 0, 1, 1, 0]",train
241,All conveniently delivered right to the door.,"[0, 1, 0, 0, 0]",train
242,even the wine by the glass was good.,"[0, 0, 0, 1, 0]",train
243,Nice Family owned traditional restaurant.,"[0, 0, 0, 0, 1]",train
244,would have rather tried terrace in the sky or water club for that price,"[0, 0, 1, 0, 1]",train
245,This dish is my favorite and I always get it when I go there and never get tired of it.,"[0, 0, 0, 1, 0]",train
246,"I also ordered the Change Mojito, which was out of this world.","[0, 0, 0, 1, 0]",train
247,Okay service.,"[0, 1, 0, 0, 0]",train
248,The only thing more wonderful than the food (which is exceptional) is the service.,"[0, 1, 0, 1, 0]",train
249,We were very pleasantly surprised.,"[0, 0, 0, 0, 1]",train
250,"The food was just awful, ATROCIOUS actually.","[0, 0, 0, 1, 0]",train
251,I will never visit this restaurant again.,"[0, 0, 0, 0, 1]",train
252,The soup for the udon was soy sauce and water.,"[0, 0, 0, 1, 0]",train
253,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.","[0, 0, 0, 1, 0]",train
254,The waitress suggested glasses of wine that went very well with the food.,"[0, 1, 0, 1, 0]",train
255,"(or sister, in my case!).","[0, 0, 0, 0, 1]",train
256,I've eaten at many different Indian restaurants.,"[0, 0, 0, 0, 1]",train
257,"They might be all business at the counter when you give your order, but their food says I love you.","[0, 1, 0, 1, 0]",train
258,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.","[0, 0, 0, 1, 0]",train
259,Try their plain pizza with fresh garlic or eggplant.,"[0, 0, 0, 1, 0]",train
260,Don't go there!,"[0, 0, 0, 0, 1]",train
261,"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.","[0, 1, 0, 0, 0]",train
262,Good luck getting a table.,"[0, 0, 0, 0, 1]",train
263,"We picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect.","[0, 0, 0, 0, 1]",train
264,Don't look down your nose at me like that...,"[0, 0, 0, 0, 1]",train
265,Planet Thai is great!,"[0, 0, 0, 0, 1]",train
266,The service is awful.,"[0, 1, 0, 0, 0]",train
267,Just don't do it.,"[0, 0, 0, 0, 1]",train
268,Just ignore the trendy wannabes.,"[0, 0, 0, 0, 1]",train
269,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!","[0, 0, 0, 1, 0]",train
270,"Trust me, it will be great, and all of it will be devoured in no time.","[0, 0, 0, 1, 0]",train
271,My girlfiends and I ate at O.G. again last night.,"[0, 0, 0, 0, 1]",train
272,I wish they had one near my office- I would go everyday.,"[0, 0, 0, 0, 1]",train
273,Finally!,"[0, 0, 0, 0, 1]",train
274,Amma has the worst value for money I have experienced in NYC over the past 2 years.,"[0, 0, 1, 0, 0]",train
275,"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.","[0, 0, 0, 0, 1]",train
276,I think this would be a pretty good spot if it were not so overpriced and overrated.,"[0, 0, 1, 0, 0]",train
277,Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,"[0, 1, 0, 0, 0]",train
278,The pizza is good though.,"[0, 0, 0, 1, 0]",train
279,bottles of wine are cheap and good.,"[0, 0, 1, 1, 0]",train
280,You will not be disapointed at all.,"[0, 0, 0, 0, 1]",train
281,Walk-ins are risky too.,"[0, 0, 0, 0, 1]",train
282,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.","[0, 0, 0, 1, 0]",train
283,They didn't give us the dinner special until we asked for it.,"[0, 1, 0, 0, 0]",train
284,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,"[0, 0, 0, 1, 0]",train
285,"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.","[0, 0, 0, 1, 0]",train
286,Very good service and very good prices.,"[0, 1, 1, 0, 0]",train
287,I recently went to this restaurant with some co-workers for lunch and had an amazing time.,"[0, 0, 0, 0, 1]",train
288,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.","[0, 1, 0, 0, 0]",train
289,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,"[0, 0, 0, 1, 0]",train
290,Our food was great too!,"[0, 0, 0, 1, 0]",train
291,Open late (well as late as I ever got there and I'm a night person),"[0, 0, 0, 0, 1]",train
292,"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.","[0, 1, 0, 0, 0]",train
293,"Get your food to go, find a bench, and kick back with a plate of dumplings.","[0, 0, 0, 0, 1]",train
294,"Please try the Filet Mignon, its just the most tender piece ever.","[0, 0, 0, 1, 0]",train
295,"Everything we had was pretty good, but we have only been there once.","[0, 0, 0, 1, 0]",train
296,"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.","[0, 0, 0, 0, 1]",train
297,Something about them being busy with holiday party's.,"[0, 0, 0, 0, 1]",train
298,The sake menu should not be overlooked!,"[0, 0, 0, 1, 0]",train
299,I would highly recommend.,"[0, 0, 0, 0, 1]",train
300,This place is great.,"[0, 0, 0, 0, 1]",train
301,the drinks are amazing and half off till 8pm.,"[0, 0, 1, 1, 0]",train
302,i've been back to nha trang literally a hundred times for the beef cubes - they're that good.,"[0, 0, 0, 1, 0]",train
303,"With so many poor experiences to be had in the theater district, is truly an excellent find!","[0, 0, 0, 0, 1]",train
304,This has got to be one of the most overrated restaurants in Brooklyn.,"[0, 0, 0, 0, 1]",train
305,"The service, wine selection, ambiance are all outstanding and deserve recognition.","[1, 1, 0, 1, 0]",train
306,"Went there last night for 2 year anniversery, and wasn't all that impressed.","[0, 0, 0, 0, 1]",train
